Yayınlandığı Tarih,Yayınlandığı Gün,Geçerli Olduğu Tarih,Geçerli Olduğu Gün,Kur,Döviz Alış,Döviz Satış
05.01.2018,Cuma,06.01.2018,Cumartesi,CNY,0.57412,0.58164
05.01.2018,Cuma,06.01.2018,Cumartesi,PKR,0.03363,0.03407
05.01.2018,Cuma,07.01.2018,Pazar,USD,3.7456,3.7523
05.01.2018,Cuma,07.01.2018,Pazar,AUD,2.9307,2.9498
05.01.2018,Cuma,07.01.2018,Pazar,DKK,0.60537,0.60834
05.01.2018,Cuma,07.01.2018,Pazar,EUR,4.5144,4.5226
05.01.2018,Cuma,07.01.2018,Pazar,GBP,5.0647,5.0911
05.01.2018,Cuma,07.01.2018,Pazar,CHF,3.8266,3.8512
05.01.2018,Cuma,07.01.2018,Pazar,SEK,0.45763,0.46237
05.01.2018,Cuma,07.01.2018,Pazar,CAD,2.9908,3.0043
05.01.2018,Cuma,07.01.2018,Pazar,KWD,12.3553,12.517
05.01.2018,Cuma,07.01.2018,Pazar,NOK,0.46229,0.46539
05.01.2018,Cuma,07.01.2018,Pazar,SAR,0.99874,1.0005
05.01.2018,Cuma,07.01.2018,Pazar,JPY,3.3011,3.323
05.01.2018,Cuma,07.01.2018,Pazar,BGN,2.2949,2.3249
05.01.2018,Cuma,07.01.2018,Pazar,RON,0.96851,0.98118
05.01.2018,Cuma,07.01.2018,Pazar,RUB,0.06531,0.06616
05.01.2018,Cuma,07.01.2018,Pazar,IRR,0.01032,0.01046
05.01.2018,Cuma,07.01.2018,Pazar,CNY,0.57412,0.58164
05.01.2018,Cuma,07.01.2018,Pazar,PKR,0.03363,0.03407
05.01.2018,Cuma,08.01.2018,Pazartesi,USD,3.7456,3.7523
05.01.2018,Cuma,08.01.2018,Pazartesi,AUD,2.9307,2.9498
05.01.2018,Cuma,08.01.2018,Pazartesi,DKK,0.60537,0.60834
05.01.2018,Cuma,08.01.2018,Pazartesi,EUR,4.5144,4.5226
05.01.2018,Cuma,08.01.2018,Pazartesi,GBP,5.0647,5.0911
05.01.2018,Cuma,08.01.2018,Pazartesi,CHF,3.8266,3.8512
05.01.2018,Cuma,08.01.2018,Pazartesi,SEK,0.45763,0.46237
05.01.2018,Cuma,08.01.2018,Pazartesi,CAD,2.9908,3.0043
05.01.2018,Cuma,08.01.2018,Pazartesi,KWD,12.3553,12.517
05.01.2018,Cuma,08.01.2018,Pazartesi,NOK,0.46229,0.46539
05.01.2018,Cuma,08.01.2018,Pazartesi,SAR,0.99874,1.0005
05.01.2018,Cuma,08.01.2018,Pazartesi,JPY,3.3011,3.323
05.01.2018,Cuma,08.01.2018,Pazartesi,BGN,2.2949,2.3249
05.01.2018,Cuma,08.01.2018,Pazartesi,RON,0.96851,0.98118
05.01.2018,Cuma,08.01.2018,Pazartesi,RUB,0.06531,0.06616
05.01.2018,Cuma,08.01.2018,Pazartesi,IRR,0.01032,0.01046
05.01.2018,Cuma,08.01.2018,Pazartesi,CNY,0.57412,0.58164
